title,haiku,haiku2,path
CERT IT DEVELOPER (APP),"This position will
be responsible for all
diseases control",This position will be responsible for all diseases control.,"['this', 'enterprise', '-enterprise', 'position', 'will', 'i++', 'be', 'responsible', 'for', 'all', 'i++', 'bureau', 'of', '-of', '-bureau', 'diseases', 'control', 'i++']"
CERT IT DEVELOPER (APP),"Great place to work with
project managers to help
with process control",Great place to work with project managers to help with process control.,"['great', 'place', 'to', 'work', 'with', 'i++', 'project', 'managers', 'to', 'help', 'i++', 'determine', '-determine', 'with', 'process', 'control', 'i++']"
CITY MEDICAL SPECIALIST (PART-,"Provide medical
care and treatment of latent
tb infection",Provide medical care and treatment of latent TB infection.,"['provide', 'technical', 'i++', 'assistance', 'for', 'the', 'staff', '-staff', 'fort', 'greene', 'i++', 'i--', '-greene', '-fort', 'staff', '-staff', '-the', '-for', '-assistance', 'i--', '-technical', 'medical', 'i++', 'care', 'and', 'treatment', 'of', 'latent', 'i++', 'tb', 'infection', 'i++']"
CITY MEDICAL SPECIALIST (PART-,"For overseeing
all aspects of the world trade
center disaster",For overseeing all aspects of the world trade center disaster.,"['for', 'overseeing', 'i++', 'all', 'aspects', 'of', 'the', 'world', 'trade', 'i++', 'center', 'health', '-health', 'disaster', 'i++']"
CITY MEDICAL SPECIALIST (PART-,"Attend to the health
needs of a designated
school community",Attend to the health needs of a designated school community.,"['attend', 'to', 'the', 'health', 'i++', 'needs', 'of', 'your', 'assigned', 'school', '-school', '-assigned', '-your', 'a', 'designated', 'i++', 'school', 'community', 'i++']"
CITY MEDICAL SPECIALIST (PART-,"For promoting the
health and mental hygiene and
the community",For promoting the health and mental hygiene and the community.,"['for', 'promoting', 'the', 'i++', 'health', 'and', 'mental', 'hygiene', 'and', 'i++', 'the', 'department', '-department', 'community', 'i++']"
CITY MEDICAL SPECIALIST (PART-,"History tracking
the health of the bureau of
tuberculosis",History tracking the health of the Bureau Of Tuberculosis.,"['history', 'tracking', 'i++', 'the', 'health', 'and', 'mental', 'hygiene', 'i++', 'responsible', '-responsible', 'and', 'the', 'public', '-public', '-the', '-and', 'i--', '-hygiene', 'health', '-health', '-mental', '-and', 'of', 'the', 'bureau', 'of', 'i++', 'tuberculosis', 'i++']"
CITY MEDICAL SPECIALIST (PART-,"Serve as a senior
member of the bureau of
tuberculosis",Serve as a senior member of the Bureau Of Tuberculosis.,"['serve', 'as', 'a', 'senior', 'i++', 'member', 'of', 'the', 'bureau', 'of', 'i++', 'tuberculosis', 'i++']"
EXECUTIVE AGENCY COUNSEL,"Direct and guide the
activities of the tax
incentives programs",Direct and guide the activities of the tax incentives programs.,"['direct', 'and', 'guide', 'the', 'i++', 'activities', 'of', 'the', 'tax', 'i++', 'incentives', 'programs', 'i++']"
EXECUTIVE AGENCY COUNSEL,"Provide guidance and
legal advice to the new
york city council",Provide guidance and legal advice to the New York City council.,"['provide', 'guidance', 'and', 'i++', 'legal', 'advice', 'to', 'the', 'new', 'i++', 'york', 'city', 'law', '-law', 'council', 'i++']"
EXECUTIVE AGENCY COUNSEL,"Draft and review of
complex matters referred by
city agencies",Draft and review of complex matters referred by city agencies.,"['draft', 'contracts', '-contracts', 'and', 'review', 'a', 'i++', 'variety', 'of', 'contexts', 'i++', 'including', 'but', '-but', '-including', 'i--', '-contexts', '-of', '-variety', 'i--', '-a', '-review', 'implement', 'i++', 'technology', 'systems', 'that', 'i++', 'will', 'enhance', 'and', '-and', '-enhance', '-will', 'i--', '-that', '-systems', '-technology', 'i--', '-implement', 'review', 'of', 'i++', 'complex', 'matters', 'referred', 'by', 'i++', 'city', 'agencies', 'i++']"
ASSOCIATE JOB OPPORTUNITY SPEC,"Review specific
cases and authorize child
care information",Review specific cases and authorize child care information.,"['review', 'specific', 'i++', 'cases', 'and', 'authorize', 'child', 'i++', 'care', 'information', 'i++']"
ADMINISTRATIVE PROCUREMENT ANA,"Strong knowledge of all
procurement policy board
rules and procedures",Strong knowledge of all procurement policy board rules and procedures.,"['strong', 'knowledge', 'of', 'all', 'i++', 'procurement', 'policy', 'board', 'i++', 'rules', 'and', 'procedures', 'i++']"
ADMINISTRATIVE PROCUREMENT ANA,"Advise management
of critical issues in
a timely manner",Advise management of critical issues in a timely manner.,"['advise', 'management', 'i++', 'of', 'critical', 'issues', 'in', 'i++', 'a', 'timely', 'manner', 'i++']"
ADMINISTRATIVE PROCUREMENT ANA,"The preparation
of solicitations of
prospective vendors",The preparation of solicitations of prospective vendors.,"['the', 'preparation', 'i++', 'of', 'solicitations', 'of', 'i++', 'prospective', 'vendors', 'i++']"
ADMINISTRATIVE PROCUREMENT ANA,"Perform difficult
work in apt automated
procurement tracking",Perform difficult work in apt automated procurement tracking.,"['perform', 'difficult', 'i++', 'work', 'in', 'apt', 'automated', 'i++', 'procurement', 'tracking', 'i++']"
PROJECT MANAGER,"The scoping design
and construction management
of plumbing systems",The scoping design and construction management of plumbing systems.,"['the', 'scoping', 'design', 'i++', 'and', 'construction', 'management', 'i++', 'of', 'plumbing', 'systems', 'i++']"
PROJECT MANAGER,"Advanced knowledge of
multi sector general
permit requirements",Advanced knowledge of multi sector general permit requirements.,"['advanced', 'knowledge', 'of', 'i++', 'multi', 'sector', 'general', 'i++', 'permit', 'requirements', 'i++']"
PROJECT MANAGER,"The division of
public buildings is seeking
project managers",The division of public buildings is seeking project managers.,"['the', 'division', 'of', 'i++', 'public', 'buildings', 'is', 'seeking', 'i++', 'project', 'managers', 'i++']"
CIVIL ENGINEER,"Failure to do so
will result in a steady
state of good repair",Failure to do so will result in a steady state of good repair.,"['failure', 'to', 'do', 'so', 'i++', 'will', 'result', 'in', 'your', '-your', 'a', 'steady', 'i++', 'state', 'of', 'good', 'repair', 'i++']"
CIVIL ENGINEER,"The largest combined
municipal water and
wastewater projects",The largest combined municipal water and wastewater projects.,"['the', 'existing', '-existing', 'largest', 'combined', 'i++', 'municipal', 'water', 'and', 'i++', 'sewer', 'sketches', '-sketches', '-sewer', 'wastewater', 'projects', 'i++']"
CIVIL ENGINEER,"Knowledge of the chief
of the bureau of water
and sewer projects",Knowledge of the chief of the Bureau Of Water And Sewer Projects.,"['knowledge', 'of', 'the', 'chief', 'i++', 'of', 'drainage', '-drainage', 'the', 'city', 'drainage', 'plans', 'i++', 'the', 'city', 'of', '-of', '-city', '-the', 'i--', '-plans', 'plan', 'i++', 'requires', '-requires', 'i--', '-plan', '-drainage', 'sewer', 'and', 'i++', 'water', 'system', '-system', '-water', 'i--', '-and', '-sewer', '-city', '-the', '-of', 'plan', 'examiner', 'perform', 'i++', 'extremely', '-extremely', 'i--', '-perform', '-examiner', '-plan', 'of', 'the', 'bureau', 'of', 'water', 'i++', 'and', 'sewer', 'projects', 'i++']"
CIVIL ENGINEER,"The operation
and maintenance of all of
the capital needs",The operation and maintenance of all of the capital needs.,"['the', 'operation', 'i++', 'and', 'maintenance', 'of', 'any', 'i++', 'issues', '-issues', 'pedestrian', '-pedestrian', 'i--', '-any', 'all', 'work', 'i++', 'is', 'progressing', '-progressing', '-is', 'performed', 'by', 'the', '-the', '-by', '-performed', 'is', 'progressing', '-progressing', '-is', 'i--', '-work', 'of', 'i++', 'new', 'york', 'state', '-state', '-york', '-new', 'i--', '-of', 'work', 'i++', 'performed', 'is', 'in', '-in', '-is', '-performed', 'i--', '-work', 'of', 'i++', 'the', 'capital', 'needs', 'i++']"
CIVIL ENGINEER,"Excellent writing
skills valid driver license
is a requirement",Excellent writing skills valid driver license is a requirement.,"['excellent', 'long-term', 'i++', 'growth', 'opportunities', '-opportunities', '-growth', 'i--', '-long-term', 'writing', 'i++', 'skills', 'valid', 'driver', 'license', 'i++', 'is', 'a', 'requirement', 'i++']"
CIVIL ENGINEER,"Under direction
of the bureau of water
and sewer projects",Under direction of the Bureau Of Water And Sewer Projects.,"['under', 'direction', 'i++', 'of', 'the', 'department', 'and', '-and', 'of', 'parks', 'i++', 'i--', '-parks', '-of', 'and', '-and', '-department', 'bureau', 'of', 'water', 'i++', 'supply', 'system', '-system', '-supply', 'i--', '-water', 'permit', 'i++', 'management', 'and', '-and', '-management', 'i--', '-permit', 'water', 'i++', 'and', 'sewer', 'projects', 'i++']"
CIVIL ENGINEER,"A consultant on
structural design and or
city officials",A consultant on structural design and or city officials.,"['a', 'requirement', '-requirement', 'consultant', 'on', 'i++', 'major', 'engineering', '-engineering', '-major', 'structural', 'design', 'and', 'green', 'i++', 'infrastructure', '-infrastructure', 'i--', '-green', 'or', 'i++', 'city', 'officials', 'i++']"
CIVIL ENGINEER,"Prepares budget and
will result in a steady
state of new buildings",Prepares budget and will result in a steady state of new buildings.,"['prepares', 'budget', 'and', 'i++', 'will', 'result', 'in', 'your', '-your', 'a', 'steady', 'i++', 'state', 'of', 'new', 'buildings', 'i++']"
CIVIL ENGINEER,"The construction of
water and sewer projects
within southeast queens",The construction of water and sewer projects within southeast queens.,"['the', 'construction', 'of', 'i++', 'water', 'and', 'sewer', 'projects', 'i++', 'within', 'southeast', 'queens', 'i++']"
CIVIL ENGINEER,"The construction of
the construction code and or
city officials",The construction of the construction code and or city officials.,"['the', 'construction', 'of', 'i++', 'corners', 'to', 'determine', 'if', 'i++', 'pedestrian', '-pedestrian', 'i--', '-if', '-determine', '-to', '-corners', 'the', 'construction', 'of', 'all', 'of', 'i++', 'new', 'york', 'city', '-city', '-york', '-new', 'the', 'basic', '-basic', '-the', 'i--', '-of', 'work', 'i++', 'performed', 'by', 'the', '-the', '-by', '-performed', 'i--', '-work', 'of', 'i++', 'the', 'basic', '-basic', '-the', 'i--', '-of', '-all', 'deep', 'rock', 'i++', 'tunnels', '-tunnels', 'i--', '-rock', '-deep', '-of', 'code', 'and', 'or', 'i++', 'city', 'officials', 'i++']"
CIVIL ENGINEER,"Manage enforcement
actions for projects managed
by the agency",Manage enforcement actions for projects managed by the agency.,"['manage', 'enforcement', 'i++', 'actions', 'for', 'projects', 'that', 'in', 'i++', 'conjunction', 'with', '-with', '-conjunction', 'i--', '-in', '-that', '-projects', '-for', '-actions', 'i--', '-enforcement', 'the', 'safety', 'i++', 'quality', 'assurance', 'and', 'i++', 'quality', '-quality', 'i--', '-and', '-assurance', 'schedule', 'and', '-and', '-schedule', '-quality', 'i--', '-safety', 'timely', 'i++', 'execution', 'and', '-and', '-execution', 'i--', '-timely', '-the', 'enforcement', 'i++', 'actions', 'for', 'projects', 'that', 'in', 'i++', 'conjunction', 'with', '-with', '-conjunction', 'i--', '-in', '-that', 'managed', 'i++', 'by', 'the', 'agency', 'i++']"
CIVIL ENGINEER,"Assign and review
the amendment of the work
of subordinates",Assign and review the amendment of the work of subordinates.,"['assign', 'and', 'review', 'i++', 'of', 'other', 'engineering', 'i++', 'discipline', '-discipline', 'disciplines', '-disciplines', 'i--', '-engineering', '-other', '-of', 'the', 'amendment', 'of', 'the', 'work', 'i++', 'of', 'subordinates', 'i++']"
CIVIL ENGINEER,"Candidates must be
a design lead will help to
develop staff skills",Candidates must be a design lead will help to develop staff skills.,"['candidates', 'who', 'are', 'i++', 'permanent', 'in', 'the', 'design', 'i++', 'of', 'site', 'plans', '-plans', 'civil', '-civil', '-site', 'the', 'section', '-section', '-the', 'retaining', '-retaining', '-of', 'i--', '-design', 'country', 'i++', 'with', 'nearly', '-nearly', '-with', 'i--', '-country', 'title', 'i++', 'of', 'civil', '-civil', '-of', 'i--', '-title', '-the', '-in', '-permanent', 'i--', '-are', '-who', 'must', 'be', 'i++', 'a', 'design', 'lead', 'will', 'be', 'asked', 'i++', 'to', 'work', '-work', '-to', 'i--', '-asked', '-be', 'help', 'to', 'i++', 'develop', 'staff', 'skills', 'i++']"
CIVIL ENGINEER,"The operation
and maintenance of public
works plants or structures",The operation and maintenance of public works plants or structures.,"['the', 'operation', 'i++', 'and', 'maintenance', 'of', 'public', 'i++', 'works', 'structures', 'and', '-and', 'or', '-or', '-structures', 'plants', 'or', 'structures', 'i++']"
CIVIL ENGINEER,"Coordinating
technical review of plans
reports and surveys",Coordinating technical review of plans reports and surveys.,"['coordinating', 'i++', 'and', 'overseeing', 'the', '-the', '-overseeing', '-and', 'technical', 'review', 'of', 'plans', 'i++', 'and', 'oversee', '-oversee', '-and', 'reports', 'and', 'surveys', 'i++']"
CITY RESEARCH SCIENTIST,"Strong track record of
technical expertise in
use of matched records",Strong track record of technical expertise in use of matched records.,"['strong', 'track', 'record', 'of', 'i++', 'technical', 'expertise', 'in', 'i++', 'heart', 'disease', 'stroke', '-stroke', '-disease', '-heart', 'research', 'methods', '-methods', '-research', 'financial', '-financial', 'i--', '-in', '-expertise', 'assistance', 'and', 'i++', 'provide', 'direct', '-direct', '-provide', 'i--', '-and', 'as', 'i++', 'required', 'for', '-for', '-required', 'i--', '-as', '-assistance', 'expertise', 'in', 'i++', 'use', 'of', 'matched', 'records', 'i++']"
CITY RESEARCH SCIENTIST,"The project lead for
the center will focus on
urban health problems",The project lead for the center will focus on urban health problems.,"['the', 'project', 'for', '-for', 'lead', 'for', 'i++', 'the', 'center', 'for', 'health', '-health', '-for', 'will', 'focus', 'on', 'i++', 'increasing', 'the', '-the', '-increasing', 'urban', 'health', 'problems', 'i++']"
CITY RESEARCH SCIENTIST,"Generate and put
in place to support public
health and health care needs",Generate and put in place to support public health and health care needs.,"['generate', 'data', 'i++', 'i--', '-data', 'and', 'put', 'i++', 'in', 'place', 'to', 'support', 'public', 'i++', 'health', 'and', 'health', 'care', 'needs', 'i++']"
CITY RESEARCH SCIENTIST,"Conduct research with
government and policy
development tasks",Conduct research with government and policy development tasks.,"['conduct', 'technical', 'i++', 'and', 'analytical', 'skills', 'i++', 'and', 'the', 'need', 'for', '-for', '-need', '-the', 'detail', '-detail', '-and', 'with', 'attention', '-attention', '-with', 'i--', '-skills', '-analytical', '-and', 'i--', '-technical', 'research', 'with', 'i++', 'government', 'and', 'policy', 'i++', 'context', '-context', 'i--', '-policy', '-and', '-government', 'a', 'team', 'player', 'to', 'work', 'in', 'i++', 'the', 'child', 'welfare', '-welfare', '-child', '-the', 'i--', '-in', 'on', 'i++', 'a', 'regular', '-regular', '-a', 'i--', '-on', '-work', '-to', '-player', '-team', '-a', 'i--', '-with', 'and', 'i++', 'will', 'build', 'upon', 'existing', 'i++', 'databases', '-databases', 'i--', '-existing', '-upon', '-build', '-will', 'collect', 'information', 'from', 'i++', 'project', '-project', 'i--', '-from', '-information', '-collect', 'i--', '-and', 'with', 'i++', 'a', 'team', 'but', 'will', 'also', 'be', 'i++', 'responsible', '-responsible', 'i--', '-be', '-also', '-will', '-but', '-team', 'focus', 'on', 'urban', 'health', 'i++', 'problems', '-problems', 'i--', '-health', '-urban', '-on', '-focus', '-a', 'government', 'and', 'policy', 'i++', 'development', 'tasks', 'i++']"
CITY RESEARCH SCIENTIST,"Lake management and
analysis within the
new york city jails",Lake management and analysis within the New York City jails.,"['lake', 'management', 'and', 'i++', 'analysis', 'within', 'the', 'i++', 'division', 'and', '-and', 'of', '-of', '-division', 'new', 'york', 'city', 'jails', 'i++']"
CITY RESEARCH SCIENTIST,"Develop review
and assess outcomes of the
communications",Develop review and assess outcomes of the communications.,"['develop', 'review', 'i++', 'and', 'assess', 'outcomes', 'of', 'the', 'i++', 'communications', 'i++']"
CITY RESEARCH SCIENTIST,"Complete other tasks
based on findings for public
dissemination",Complete other tasks based on findings for public dissemination.,"['complete', 'other', 'tasks', 'i++', 'as', 'assigned', 'and', 'other', 'ms', 'i++', 'office', 'suite', '-suite', 'software', '-software', '-office', 'i--', '-ms', '-other', '-and', '-assigned', '-as', 'based', 'on', 'findings', 'for', 'public', 'i++', 'dissemination', 'i++']"
CITY RESEARCH SCIENTIST,"Oversee outreach
and communication with
steering committee",Oversee outreach and communication with steering committee.,"['oversee', 'the', '-the', 'outreach', 'i++', 'and', 'the', 'condom', 'contracts', '-contracts', '-condom', 'environment', 'by', 'i++', 'supplying', 'clean', '-clean', '-supplying', 'i--', '-by', '-environment', '-the', 'communication', 'skills', 'i++', 'both', 'orally', '-orally', '-both', 'i--', '-skills', 'with', 'i++', 'steering', 'committee', 'i++']"
CITY RESEARCH SCIENTIST,"The office prefers
candidates with a diverse
staff of scientists",The office prefers candidates with a diverse staff of scientists.,"['the', 'agency', 'in', 'i++', 'being', '-being', 'i--', '-in', '-agency', 'analysis', 'i++', 'to', 'management', 'and', 'other', 'i++', 'senior', 'staff', 'to', '-to', '-staff', '-senior', 'i--', '-other', '-and', '-management', '-to', 'i--', '-analysis', 'office', 'of', 'the', 'i++', 'urban', 'ecosystem', '-ecosystem', '-urban', 'i--', '-the', '-of', 'prefers', 'i++', 'candidates', 'with', 'a', 'diverse', 'i++', 'staff', 'of', 'scientists', 'i++']"
CITY RESEARCH SCIENTIST,"This initiative
aims to strengthen the health of
new york city jails",This initiative aims to strengthen the health of New York City jails.,"['this', 'initiative', 'i++', 'aims', 'to', 'strengthen', 'and', '-and', 'the', 'health', 'of', 'i++', 'new', 'york', 'state', 'the', '-the', '-state', 'city', 'jails', 'i++']"
ADM CITY PLANNER (NON MGRL),"Working closely with
other research projects of
the green building laws",Working closely with other research projects of the green building laws.,"['working', 'closely', 'with', 'i++', 'our', 'project', 'partners', 'at', 'i++', 'the', 'new', 'york', 'state', '-state', '-york', '-new', '-the', 'i--', '-at', '-partners', '-project', '-our', 'other', 'research', 'projects', 'of', 'i++', 'the', 'green', 'building', 'laws', 'i++']"
ADM CITY PLANNER (NON MGRL),"Reporting to the
city the development
of future programs",Reporting to the city the development of future programs.,"['reporting', 'tool', '-tool', 'to', 'the', 'i++', 'city', 'the', 'development', 'i++', 'of', 'future', 'programs', 'i++']"
ADM CITY PLANNER (NON MGRL),"The development
and implementation of
the green buildings laws",The development and implementation of the green buildings laws.,"['the', 'development', 'i++', 'of', 'project', 'scopes', 'and', '-and', 'the', 'borough', 'i++', 'planners', 'will', 'be', '-be', '-will', 'to', 'serve', '-serve', '-to', 'will', 'be', '-be', '-will', '-planners', 'i--', '-borough', '-the', '-scopes', 'needs', 'the', '-the', '-needs', '-project', '-of', 'and', 'implementation', 'of', 'i++', 'the', 'green', 'buildings', 'laws', 'i++']"
ADM CITY PLANNER (NON MGRL),"Extensive knowledge
of the green building and land
use regulations",Extensive knowledge of the green building and land use regulations.,"['extensive', 'knowledge', 'i++', 'of', 'the', 'green', 'buildings', 'subject', 'i++', 'matters', 'that', '-that', 'and', '-and', '-matters', 'i--', '-subject', '-buildings', 'building', 'and', 'land', 'i++', 'use', 'regulations', 'i++']"
SEWAGE TREATMENT WORKER,"Use power and hand
tools repair and maintenance
of plant equipment",Use power and hand tools repair and maintenance of plant equipment.,"['use', 'power', 'and', 'hand', 'i++', 'tools', 'repair', 'and', 'maintenance', 'i++', 'of', 'all', '-all', 'plant', 'equipment', 'i++']"
CIVIL ENGINEERING INTERN,"Assisting in the
state of new york is preferred
but not required",Assisting in the state of New York is preferred but not required.,"['assisting', 'in', 'the', 'i++', 'development', 'of', 'a', '-a', '-of', '-development', 'state', 'of', 'new', 'york', 'city', 'has', 'i++', 'i--', '-has', '-city', 'is', 'preferred', 'i++', 'but', 'not', 'required', 'i++']"
CIVIL ENGINEERING INTERN,"Tasks related to
green infrastructure such as
green roofs required",Tasks related to green infrastructure such as green roofs required.,"['tasks', 'include', '-include', 'will', 'include', 'but', 'i++', 'are', 'not', 'limited', 'to', '-to', '-limited', '-not', '-are', 'i--', '-but', '-include', '-will', 'related', 'to', 'i++', 'green', 'infrastructure', 'projects', 'i++', 'in', 'se', 'queens', '-queens', '-se', '-in', 'as', 'part', 'of', 'the', '-the', '-of', '-part', '-as', 'in', 'order', 'to', '-to', '-order', '-in', 'i--', '-projects', 'and', 'plan', 'i++', 'review', 'drainage', '-drainage', '-review', 'i--', '-plan', '-and', 'such', 'as', 'i++', 'green', 'roofs', 'required', 'i++']"
CIVIL ENGINEERING INTERN,"Tasks related to
design and construction of
green roofs required",Tasks related to design and construction of green roofs required.,"['tasks', 'related', 'to', 'i++', 'design', 'and', 'complexity', 'i++', 'i--', '-complexity', 'construction', 'is', 'i++', 'required', 'for', '-for', '-required', 'i--', '-is', '-construction', 'preparation', 'i++', 'of', 'technical', '-technical', '-of', 'i--', '-preparation', 'construction', 'of', 'i++', 'green', 'roofs', 'required', 'i++']"
CIVIL ENGINEERING INTERN,"Knowledge of sewer
design and construction of
green roofs required",Knowledge of sewer design and construction of green roofs required.,"['knowledge', 'of', 'basic', 'i++', 'i--', '-basic', 'sewer', 'i++', 'design', 'and', 'construction', 'of', 'i++', 'green', 'roofs', 'required', 'i++']"
CIVIL ENGINEERING INTERN,"Technical writing
and communication skills
and leadership skills",Technical writing and communication skills and leadership skills.,"['technical', 'writing', 'i++', 'and', 'communication', 'skills', 'i++', 'and', 'proficient', '-proficient', 'leadership', 'skills', 'i++']"
CIVIL ENGINEERING INTERN,"Join our team and
be part of the public in
courteous manner",Join our team and be part of the public in courteous manner.,"['join', 'our', 'team', 'and', 'i++', 'be', 'part', 'of', 'the', 'public', 'and', 'i++', 'private', 'green', '-green', '-private', 'i--', '-and', 'in', 'i++', 'courteous', 'manner', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"The supervision
of the daily payments and
commodity codes",The supervision of the daily payments and commodity codes.,"['the', 'supervision', 'i++', 'of', 'the', 'daily', 'transfer', 'of', 'i++', 'balances', '-balances', 'i--', '-of', '-transfer', 'payments', 'and', 'i++', 'daily', 'transfers', '-transfers', '-daily', 'commodity', 'codes', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"Make sure that data
quality questions are sent
to the database",Make sure that data quality questions are sent to the database.,"['make', 'sure', 'that', 'data', 'i++', 'quality', 'questions', 'are', 'sent', 'i++', 'to', 'the', 'database', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"Possess excellent
organizational and
time management skills",Possess excellent organizational and time management skills.,"['possess', 'excellent', 'i++', 'organizational', 'and', 'i++', 'verbal', '-verbal', 'time', 'and', 'engage', '-engage', '-and', 'management', 'skills', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"Creates signage in
compliance with local small
business services",Creates signage in compliance with local small business services.,"['creates', 'signage', 'in', 'i++', 'compliance', 'with', 'local', 'law', 'i++', 'i--', '-law', 'small', 'i++', 'business', 'services', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"The candidate will
work with the recording of
the world trade center",The candidate will work with the recording of the world trade center.,"['the', 'surveys', 'for', '-for', 'basic', 'i++', 'word', 'processing', 'knowledge', 'and', 'i++', 'experience', '-experience', 'i--', '-and', '-knowledge', '-processing', '-word', 'i--', '-basic', '-surveys', 'health', 'of', 'all', 'new', 'i++', 'yorkers', 'to', 'create', 'a', '-a', '-create', '-to', 'with', 'spinal', 'cord', '-cord', '-spinal', '-with', '-yorkers', 'i--', '-new', '-all', '-of', '-health', 'candidate', 'will', 'i++', 'work', 'with', 'the', 'recording', 'of', 'i++', 'the', 'world', 'trade', 'center', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"File the completed
paper surveys returned to
the public health field",File the completed paper surveys returned to the public health field.,"['file', 'the', 'completed', 'i++', 'paper', 'surveys', 'returned', 'to', 'i++', 'the', 'public', 'and', '-and', 'health', 'field', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"The college aide will
build alfred a document
retention system",The college aide will build alfred a document retention system.,"['the', 'selected', '-selected', 'program', 'is', '-is', '-program', 'college', 'aide', 'i', 'i++', 'freshman', 'sophomore', 'the', 'world', 'trade', 'i++', 'center', 'health', '-health', '-center', 'i--', '-trade', '-world', '-the', 'early', '-early', '-sophomore', '-freshman', 'junior', 'senior', 'the', 'bureau', 'i++', 'of', 'finance', 'has', '-has', '-finance', '-of', 'i--', '-bureau', '-the', '-senior', '-junior', 'i--', '-i', 'will', 'i++', 'support', 'various', 'office', 'i++', 'projects', '-projects', 'i--', '-office', '-various', '-support', 'build', 'alfred', 'a', 'document', 'i++', 'retention', 'system', 'i++']"
COLLEGE AIDE (ALL CITY DEPTS),"Duties as assigned
by the city of new york
workplace policies",Duties as assigned by the city of New York workplace policies.,"['duties', 'as', 'assigned', 'i++', 'by', 'the', 'city', 'of', 'new', 'york', 'i++', 'workplace', 'policies', 'i++']"
ADMINISTRATIVE LABOR RELATIONS,"Leading driving and
executing strategies
and initiatives",Leading driving and executing strategies and initiatives.,"['leading', 'the', '-the', 'driving', 'and', 'i++', 'executing', 'strategies', 'i++', 'and', 'initiatives', 'i++']"
SUPERVISOR II SOCIAL WORK,"The intersection
of individuals with
mental health programs",The intersection of individuals with mental health programs.,"['the', 'intersection', 'i++', 'of', 'individuals', 'with', 'i++', 'behavioral', '-behavioral', 'mental', 'health', 'programs', 'i++']"
SUPERVISOR II SOCIAL WORK,"Reporting to the
new york city residents
with mental health needs",Reporting to the New York City residents with mental health needs.,"['reporting', 'to', 'the', 'i++', 'new', 'york', 'city', 'residents', 'i++', 'with', 'mental', 'health', 'needs', 'i++']"
AGENCY ATTORNEY,"Strong relationships
with stakeholders in the new
york city office",Strong relationships with stakeholders in the New York City office.,"['strong', 'legal', '-legal', 'relationships', 'i++', 'with', 'stakeholders', 'in', 'the', 'close', 'i++', 'to', 'home', 'matters', '-matters', '-home', '-to', 'i--', '-close', 'new', 'i++', 'york', 'and', 'has', 'a', '-a', '-has', '-and', 'city', 'office', 'i++']"
AGENCY ATTORNEY,"Liaison with the
new york state courts and at bar
associations",Liaison with the New York State courts and at bar associations.,"['liaison', 'with', 'the', 'i++', 'new', 'york', 'city', 'family', 'i++', 'courts', '-courts', 'i--', '-family', '-city', 'state', 'courts', 'and', 'at', 'bar', 'i++', 'associations', 'i++']"
AGENCY ATTORNEY,"Strong computer skills
in microsoft access and
excel are preferred",Strong computer skills in Microsoft Access and Excel are preferred.,"['strong', 'legal', '-legal', 'computer', 'skills', 'i++', 'in', 'microsoft', 'word', 'and', '-and', '-word', 'access', 'and', 'i++', 'excel', 'are', 'preferred', 'i++']"
AGENCY ATTORNEY,"Excellent writing
skills and knowledge of legal
issues in a team",Excellent writing skills and knowledge of legal issues in a team.,"['excellent', 'verbal', 'i++', 'and', 'written', '-written', '-and', 'i--', '-verbal', 'writing', 'i++', 'skills', 'and', 'knowledge', 'of', 'legal', 'i++', 'affairs', 'under', '-under', '-affairs', 'issues', 'in', 'a', 'team', 'i++']"
AGENCY ATTORNEY,"Monitor proposed
pension legislation at
the new york state courts",Monitor proposed pension legislation at the New York State courts.,"['monitor', 'proposed', 'i++', 'pension', 'legislation', 'at', 'i++', 'the', 'new', 'york', 'state', 'courts', 'i++']"
AGENCY ATTORNEY,"The unit seeks an
experienced attorney
to serve in a staff",The unit seeks an experienced attorney to serve in a staff.,"['the', 'unit', 'seeks', 'an', 'i++', 'experienced', 'attorney', 'i++', 'to', 'serve', 'as', 'the', '-the', 'an', '-an', '-as', 'in', 'a', 'staff', 'i++']"
AGENCY ATTORNEY,"Updating senior
staff to assess risk levels
of the position",Updating senior staff to assess risk levels of the position.,"['updating', 'senior', 'i++', 'staff', 'of', 'important', 'and', '-and', '-important', '-of', 'to', 'ensure', 'the', '-the', '-ensure', 'organize', 'and', '-and', '-organize', '-to', 'of', 'the', 'highest', '-highest', '-the', '-of', 'to', 'assess', 'risk', 'levels', 'i++', 'of', 'the', 'position', 'i++']"
AGENCY ATTORNEY,"Experience and
knowledge of legal matters
affecting the fund",Experience and knowledge of legal matters affecting the fund.,"['experience', 'and', 'i++', 'knowledge', 'of', 'guidelines', '-guidelines', 'legal', 'affairs', 'i++', 'under', 'the', '-the', '-under', 'which', 'currently', '-currently', '-which', 'the', 'collections', '-collections', '-the', 'i--', '-affairs', 'matters', 'i++', 'affecting', 'the', 'fund', 'i++']"
